,Location,Date,Time,Latitude,Longitude,Altitude,Month,Hour,Season,Humidity,Temp,Wind,Visibility,Pressure,Cloud,PolyPwr,power_class
0,Camp Murray,2017-12-03,1145,47.11,-122.57,84,12,11,Winter,81.71997,12.86919,5,10.0,1010.6,722,2.42769,1
1,Camp Murray,2017-12-03,1315,47.11,-122.57,84,12,13,Winter,96.64917,9.66415,0,10.0,1011.3,23,2.46273,1
2,Camp Murray,2017-12-03,1330,47.11,-122.57,84,12,13,Winter,93.61572,15.44983,5,10.0,1011.6,32,4.46836,1
3,Camp Murray,2017-12-04,1230,47.11,-122.57,84,12,12,Winter,77.21558,10.36659,5,2.0,1024.4,6,1.65364,1
4,Camp Murray,2017-12-04,1415,47.11,-122.57,84,12,14,Winter,54.80347,16.85471,3,3.0,1023.7,9,6.57939,1
5,Camp Murray,2017-12-04,1430,47.11,-122.57,84,12,14,Winter,47.10083,18.12363,0,5.0,1023.7,722,2.92027,1
6,Camp Murray,2017-12-05,1115,47.11,-122.57,84,12,11,Winter,43.55469,19.41269,0,4.0,1025.7,722,3.41284,1
7,Camp Murray,2017-12-05,1200,47.11,-122.57,84,12,12,Winter,30.56641,23.9093,5,7.0,1026.0,722,4.8202,1
8,Camp Murray,2017-12-05,1300,47.11,-122.57,84,12,13,Winter,17.90771,32.32346,5,10.0,1025.7,722,5.98127,1
9,Camp Murray,2017-12-05,1400,47.11,-122.57,84,12,14,Winter,14.4043,35.41267,6,10.0,1025.4,722,4.96121,1
10,Camp Murray,2017-12-05,1500,47.11,-122.57,84,12,15,Winter,15.72876,32.91763,6,10.0,1025.0,722,2.85006,1
11,Camp Murray,2017-12-06,1130,47.11,-122.57,84,12,11,Winter,26.18408,25.84541,3,3.0,1025.7,722,4.67733,1
12,Camp Murray,2017-12-06,1200,47.11,-122.57,84,12,12,Winter,23.71216,27.76642,0,5.0,1025.7,722,4.78501,1
13,Camp Murray,2017-12-06,1300,47.11,-122.57,84,12,13,Winter,15.93628,36.06476,0,10.0,1025.4,722,6.19272,1
14,Camp Murray,2017-12-06,1400,47.11,-122.57,84,12,14,Winter,16.70532,34.82101,3,10.0,1024.4,722,5.17233,1
15,Camp Murray,2017-12-06,1500,47.11,-122.57,84,12,15,Winter,13.39111,39.3,0,10.0,1023.7,722,3.09636,1
16,Camp Murray,2017-12-07,1200,47.11,-122.57,84,12,12,Winter,83.30078,8.3625,0,0.3,1022.0,1,1.45144,1
17,Camp Murray,2017-12-07,1245,47.11,-122.57,84,12,12,Winter,82.89795,7.17163,0,0.3,1022.0,2,2.46273,1
18,Camp Murray,2017-12-07,1300,47.11,-122.57,84,12,13,Winter,82.08618,7.72049,0,0.3,1021.7,2,1.65364,1
19,Camp Murray,2017-12-07,1400,47.11,-122.57,84,12,14,Winter,72.70508,9.70192,0,0.3,1021.3,2,1.7592,1
20,Camp Murray,2017-12-07,1430,47.11,-122.57,84,12,14,Winter,70.01953,10.35904,0,0.1,1021.3,2,1.7592,1
21,Camp Murray,2017-12-07,1500,47.11,-122.57,84,12,15,Winter,67.30347,11.60027,0,0.3,1021.0,2,1.72401,1
22,Camp Murray,2017-12-08,1200,47.11,-122.57,84,12,12,Winter,82.72705,6.49437,0,0.1,1021.7,1,1.51291,1
23,Camp Murray,2017-12-08,1300,47.11,-122.57,84,12,13,Winter,76.77002,8.42796,3,0.6,1021.3,2,1.68883,1
24,Camp Murray,2017-12-08,1315,47.11,-122.57,84,12,13,Winter,79.04053,7.13387,3,1.0,1021.0,2,1.65364,1
25,Camp Murray,2017-12-08,1345,47.11,-122.57,84,12,13,Winter,74.95117,8.36754,0,1.8,1021.0,2,1.68883,1
26,Camp Murray,2017-12-09,1200,47.11,-122.57,84,12,12,Winter,27.74658,24.48082,0,6.0,1019.3,722,4.53873,1
27,Camp Murray,2017-12-09,1300,47.11,-122.57,84,12,13,Winter,22.82715,29.63959,0,6.0,1019.0,722,4.78501,1
28,Camp Murray,2017-12-09,1400,47.11,-122.57,84,12,14,Winter,20.41016,30.38734,0,10.0,1018.3,722,4.04615,1
29,Camp Murray,2017-12-09,1500,47.11,-122.57,84,12,15,Winter,25.1709,27.69592,0,10.0,1018.0,722,1.93512,1
30,Camp Murray,2017-12-10,1200,47.11,-122.57,84,12,12,Winter,32.62329,23.24715,0,6.0,1018.6,722,3.79986,1
31,Camp Murray,2017-12-10,1300,47.11,-122.57,84,12,13,Winter,24.4873,27.09419,0,10.0,1018.0,722,4.92575,1
32,Camp Murray,2017-12-10,1400,47.11,-122.57,84,12,14,Winter,17.04102,32.89246,0,10.0,1017.3,722,5.06677,1
33,Camp Murray,2017-12-10,1500,47.11,-122.57,84,12,15,Winter,15.20386,34.12865,0,10.0,1016.6,722,2.95545,1
34,Camp Murray,2017-12-11,1200,47.11,-122.57,84,12,12,Winter,21.62476,29.62448,0,10.0,1016.6,722,4.78528,1
35,Camp Murray,2017-12-11,1300,47.11,-122.57,84,12,13,Winter,14.16626,36.05721,0,10.0,1016.6,722,6.15754,1
36,Camp Murray,2017-12-11,1400,47.11,-122.57,84,12,14,Winter,12.39014,34.78828,6,10.0,1016.3,722,5.03159,1
37,Camp Murray,2017-12-11,1500,47.11,-122.57,84,12,15,Winter,13.10425,32.98309,5,10.0,1017.0,722,3.06117,1
38,Camp Murray,2017-12-13,1100,47.11,-122.57,84,12,11,Winter,32.17163,21.98326,0,10.0,1019.3,722,2.56843,1
39,Camp Murray,2017-12-13,1200,47.11,-122.57,84,12,12,Winter,20.41016,29.67735,5,10.0,1018.6,722,4.96093,1
40,Camp Murray,2017-12-13,1500,47.11,-122.57,84,12,15,Winter,18.98193,31.70158,5,10.0,1017.0,722,2.9908,1
41,Camp Murray,2017-12-14,1415,47.11,-122.57,84,12,14,Winter,70.97168,11.00105,0,4.0,1014.6,3,1.82956,1
42,Camp Murray,2017-12-16,1300,47.11,-122.57,84,12,13,Winter,69.15283,12.3304,3,10.0,1015.3,110,1.82956,1
43,Camp Murray,2017-12-16,1345,47.11,-122.57,84,12,13,Winter,69.50073,12.94724,3,10.0,1015.6,24,1.89431,1
44,Camp Murray,2017-12-20,1100,47.11,-122.57,84,12,11,Winter,51.64185,20.60104,8,10.0,1010.6,722,1.44254,1
45,Camp Murray,2017-12-20,1200,47.11,-122.57,84,12,12,Winter,24.01123,26.45973,6,10.0,1011.9,722,4.60909,1
46,Camp Murray,2017-12-20,1300,47.11,-122.57,84,12,13,Winter,14.4043,27.76642,15,10.0,1012.6,722,5.98127,1
47,Camp Murray,2017-12-20,1400,47.11,-122.57,84,12,14,Winter,10.57739,30.91103,10,10.0,1013.6,722,4.89057,1
48,Camp Murray,2017-12-20,1500,47.11,-122.57,84,12,15,Winter,10.95581,29.11842,11,10.0,1014.6,722,1.86475,1
49,Camp Murray,2017-12-21,1200,47.11,-122.57,84,12,12,Winter,36.56006,18.66745,0,10.0,1019.3,722,3.62394,1
50,Camp Murray,2017-12-21,1300,47.11,-122.57,84,12,13,Winter,33.14209,17.41867,3,10.0,1018.6,722,3.83505,1
51,Camp Murray,2017-12-21,1400,47.11,-122.57,84,12,14,Winter,31.15234,19.30695,3,10.0,1017.6,722,5.77016,1
52,Camp Murray,2017-12-27,1200,47.11,-122.57,84,12,12,Winter,70.39795,7.80357,0,6.0,1014.3,170,1.40736,1
53,Camp Murray,2018-01-02,1200,47.11,-122.57,84,1,12,Winter,66.97998,9.70192,3,10.0,1016.3,722,1.61846,1
54,Camp Murray,2018-01-02,1300,47.11,-122.57,84,1,13,Winter,66.8335,9.01962,3,10.0,1015.6,160,1.65364,1
55,Camp Murray,2018-01-03,1130,47.11,-122.57,84,1,11,Winter,62.97607,10.94315,6,3.0,1010.9,5,1.44254,1
56,Camp Murray,2018-01-03,1145,47.11,-122.57,84,1,11,Winter,62.42676,11.64307,5,3.0,1010.9,6,1.65364,1
57,Camp Murray,2018-01-03,1200,47.11,-122.57,84,1,12,Winter,39.50806,22.52205,0,4.0,1010.3,20,4.60909,1
58,Camp Murray,2018-01-03,1230,47.11,-122.57,84,1,12,Winter,24.15161,28.96988,5,3.0,1010.3,15,4.89084,1
59,Camp Murray,2018-01-03,1245,47.11,-122.57,84,1,12,Winter,25.64087,27.70348,6,3.0,1010.3,722,4.88272,1
60,Camp Murray,2018-01-03,1400,47.11,-122.57,84,1,14,Winter,19.87915,30.96642,6,3.0,1009.2,722,5.06677,1
61,Camp Murray,2018-01-03,1500,47.11,-122.57,84,1,15,Winter,17.81006,32.96547,3,4.0,1008.2,722,4.18712,1
62,Camp Murray,2018-01-05,1330,47.11,-122.57,84,1,13,Winter,97.82104,11.63803,0,10.0,1005.6,3,1.61837,1
63,Camp Murray,2018-01-05,1400,47.11,-122.57,84,1,14,Winter,95.61768,12.88177,0,10.0,1005.2,130,2.63879,1
64,Camp Murray,2018-01-06,1100,47.11,-122.57,84,1,11,Winter,64.04419,17.47154,10,10.0,1013.6,70,2.39237,1
65,Camp Murray,2018-01-06,1300,47.11,-122.57,84,1,13,Winter,48.52905,18.73291,13,10.0,1014.6,60,4.78501,1
66,Camp Murray,2018-01-06,1400,47.11,-122.57,84,1,14,Winter,31.99463,24.57146,10,10.0,1014.3,50,4.01097,1
67,Camp Murray,2018-01-07,1200,47.11,-122.57,84,1,12,Winter,80.29785,11.57761,3,10.0,1008.6,60,1.61846,1
68,Camp Murray,2018-01-08,1200,47.11,-122.57,84,1,12,Winter,82.21436,11.59775,0,1.0,998.8,2,1.61266,1
69,Camp Murray,2018-01-08,1215,47.11,-122.57,84,1,12,Winter,80.05371,11.63048,0,0.0,998.5,2,1.72401,1
70,Camp Murray,2018-01-08,1300,47.11,-122.57,84,1,13,Winter,77.68555,12.22214,0,4.0,997.8,2,1.72401,1
71,Camp Murray,2018-01-08,1315,47.11,-122.57,84,1,13,Winter,77.78931,12.23221,0,10.0,997.2,3,0.48681,1
72,Camp Murray,2018-01-08,1500,47.11,-122.57,84,1,15,Winter,68.46313,15.44228,0,10.0,995.5,70,0.32484,1
73,Camp Murray,2018-01-09,1100,47.11,-122.57,84,1,11,Winter,85.84595,12.32285,9,10.0,992.8,722,1.40728,1
74,Camp Murray,2018-01-09,1200,47.11,-122.57,84,1,12,Winter,40.22827,25.23865,9,10.0,993.1,722,5.80535,1
75,Camp Murray,2018-01-09,1230,47.11,-122.57,84,1,12,Winter,48.49243,19.41269,10,10.0,993.1,16,2.81471,1
76,Camp Murray,2018-01-09,1300,47.11,-122.57,84,1,13,Winter,63.0249,14.8909,9,10.0,993.5,14,2.70916,1
77,Camp Murray,2018-01-09,1500,47.11,-122.57,84,1,15,Winter,62.21924,14.20609,9,10.0,993.8,25,3.90542,1
78,Camp Murray,2018-01-10,1400,47.11,-122.57,84,1,14,Winter,86.96899,9.12033,9,10.0,1005.6,36,1.61846,1
79,Camp Murray,2018-01-10,1415,47.11,-122.57,84,1,14,Winter,87.03613,9.75983,6,10.0,1005.6,29,1.68883,1
80,Camp Murray,2018-01-13,1145,47.11,-122.57,84,1,11,Winter,36.65161,29.07059,0,10.0,1019.0,70,4.08157,1
81,Camp Murray,2018-01-13,1200,47.11,-122.57,84,1,12,Winter,32.91626,30.9639,0,10.0,1019.0,70,3.06117,1
82,Camp Murray,2018-01-13,1300,47.11,-122.57,84,1,13,Winter,20.57495,39.43344,5,10.0,1018.0,50,7.20086,1
83,Camp Murray,2018-01-13,1400,47.11,-122.57,84,1,14,Winter,22.19849,36.84021,7,10.0,1017.3,200,3.27229,1
84,Camp Murray,2018-01-13,1500,47.11,-122.57,84,1,15,Winter,22.80884,36.83517,8,10.0,1016.6,200,5.13714,1
